Calculation result

      time (s)         Distance (m)
      25.76               3251.53
      25.99               3309.85
      26.22               3368.69
      26.45               3428.05
      26.68               3487.93
      26.91               3548.33
      27.14               3609.24
      27.37               3670.67
      27.60               3732.62
      27.83               3795.09
      28.06               3858.08
      28.29               3921.59
      28.52               3985.61
      28.75               4050.16
      28.98               4115.22
      29.21               4180.80
      29.44               4246.90
      29.67               4313.51
      29.90               4380.65
      30.13               4448.30
      30.36               4516.48
      30.59               4585.17
      30.82               4654.37
      31.05               4724.10
      31.28               4794.35
      31.51               4865.11
      31.74               4936.40
      31.97               5008.20
      32.20               5080.52
      32.43               5153.35
      32.66               5226.71
      32.89               5300.59
      33.12               5374.98
      33.35               5449.89
      33.58               5525.32
      33.81               5601.27
      34.04               5677.74
      34.27               5754.72
      34.50               5832.23
      34.73               5910.25
      34.96               5988.79
      35.19               6067.85
      35.42               6147.42
      35.65               6227.52
      35.88               6308.13
      36.11               6389.27
      36.34               6470.92
      36.57               6553.09
      36.80               6635.78
      37.03               6718.98
      37.26               6802.71
      37.49               6886.95
      37.72               6971.71
      37.95               7056.99
      38.18               7142.79
      38.41               7229.11
      38.64               7315.94
      38.87               7403.30
      39.10               7491.17
      39.33               7579.56
      39.56               7668.47
      39.79               7757.90
      40.02               7847.84
      40.25               7938.31
      40.48               8029.29
      40.71               8120.79
      40.94               8212.81
      41.17               8305.35
      41.40               8398.40
      41.63               8491.98
      41.86               8586.07
      42.09               8680.68
      42.32               8775.81
      42.55               8871.46
      42.78               8967.63
      43.01               9064.31
      43.24               9161.52
      43.47               9259.24
      43.70               9357.48
      43.93               9456.24
      44.16               9555.52
      44.39               9655.31
      44.62               9755.63
      44.85               9856.46
      45.08               9957.81
      45.31              10059.68
      45.54              10162.07
      45.77              10264.98
      46.00              10368.40
      46.23              10472.34
      46.46              10576.80
      46.69              10681.78
      46.92              10787.28
      47.15              10893.30
      47.38              10999.84
      47.61              11106.89
      47.84              11214.46
      48.07              11322.55
      48.30              11431.16
      48.53              11540.29
      48.76              11649.93
      48.99              11760.10
      49.22              11870.78
      49.45              11981.98
      49.68              12093.70
      49.91              12205.94
      50.14              12318.70
      50.37              12431.97
      50.60              12545.76
      50.83              12660.08
      51.06              12774.91
      51.29              12890.25
      51.52              13006.12
      51.75              13122.51
      51.98              13239.41
      52.21              13356.83
      52.44              13474.77
      52.67              13593.23
      52.90              13712.21
      53.13              13831.70
      53.36              13951.72
      53.59              14072.25
      53.82              14193.30
      54.05              14314.87
      54.28              14436.96
      54.51              14559.57
      54.74              14682.69
      54.97              14806.33
      55.20              14930.50
      55.43              15055.18
      55.66              15180.37
      55.89              15306.09
      56.12              15432.33
      56.35              15559.08
      56.58              15686.35
      56.81              15814.14
      57.04              15942.45
      57.27              16071.28
      57.50              16200.62
      57.73              16330.49
      57.96              16460.87
      58.19              16591.77
      58.42              16723.19
      58.65              16855.13
      58.88              16987.59
      59.11              17120.56
      59.34              17254.05
      59.57              17388.07
      59.80              17522.60
      60.03              17657.64
      60.26              17793.21
      60.49              17929.30
      60.72              18065.90
      60.95              18203.02
      61.18              18340.66
      61.41              18478.82
      61.64              18617.50
      61.87              18756.69
      62.10              18896.41
      62.33              19036.64
      62.56              19177.39
      62.79              19318.66
      63.02              19460.45
      63.25              19602.76
      63.48              19745.58
      63.71              19888.92
      63.94              20032.79
      64.17              20177.17
      64.40              20322.06
      64.63              20467.48
      64.86              20613.42
      65.09              20759.87
      65.32              20906.84
      65.55              21054.33
      65.78              21202.34
      66.01              21350.87
      66.24              21499.91
      66.47              21649.48
      66.70              21799.56
      66.93              21950.16
      67.16              22101.28
      67.39              22252.92
      67.62              22405.08
      67.85              22557.75
      68.08              22710.94
      68.31              22864.65
      68.54              23018.88
      68.77              23173.63
      69.00              23328.90
      69.23              23484.69
      69.46              23640.99
      69.69              23797.81
      69.92              23955.15
      70.15              24113.01
      70.38              24271.39
      70.61              24430.28
      70.84              24589.70
      71.07              24749.63
      71.30              24910.08
      71.53              25071.05
      71.76              25232.54
      71.99              25394.54
      72.22              25557.07
      72.45              25720.11
      72.68              25883.67
      72.91              26047.75
      73.14              26212.35
      73.37              26377.47
      73.60              26543.10
      73.83              26709.26
      74.06              26875.93
      74.29              27043.12
      74.52              27210.83
      74.75              27379.06
      74.98              27547.80
      75.21              27717.07
      75.44              27886.85
      75.67              28057.15
      75.90              28227.97
      76.13              28399.31
      76.36              28571.16
      76.59              28743.54
      76.82              28916.43
      77.05              29089.84
      77.28              29263.77
      77.51              29438.22
      77.74              29613.19
      77.97              29788.67
      78.20              29964.68
      78.43              30141.20
      78.66              30318.24
      78.89              30495.80
      79.12              30673.87
      79.35              30852.47
      79.58              31031.58
      79.81              31211.22
      80.04              31391.37
      80.27              31572.04
      80.50              31753.22
      80.73              31934.93
      80.96              32117.16
      81.19              32299.90
      81.42              32483.16
      81.65              32666.94
      81.88              32851.24
      82.11              33036.06
      82.34              33221.39
      82.57              33407.24
      82.80              33593.62
      83.03              33780.51
      83.26              33967.92
      83.49              34155.84
      83.72              34344.29
      83.95              34533.25
      84.18              34722.73
      84.41              34912.74
      84.64              35103.26
      84.87              35294.29
      85.10              35485.85
      85.33              35677.92
      85.56              35870.52
      85.79              36063.63
      86.02              36257.26
      86.25              36451.41
      86.48              36646.07
      86.71              36841.26
      86.94              37036.96
      87.17              37233.18
      87.40              37429.92
      87.63              37627.18
      87.86              37824.96
      88.09              38023.26
      88.32              38222.07
      88.55              38421.40
      88.78              38621.25
      89.01              38821.62
      89.24              39022.51
      89.47              39223.92
      89.70              39425.84
      89.93              39628.28
      90.16              39831.25
      90.39              40034.73
      90.62              40238.72
      90.85              40443.24
      91.08              40648.28
      91.31              40853.83
      91.54              41059.90
      91.77              41266.49
      92.00              41473.60
      92.23              41681.23
      92.46              41889.37
      92.69              42098.04
      92.92              42307.22
      93.15              42516.92
      93.38              42727.14
      93.61              42937.88
      93.84              43149.13
      94.07              43360.91
      94.30              43573.20
      94.53              43786.01
      94.76              43999.34
      94.99              44213.19
      95.22              44427.56
      95.45              44642.44
      95.68              44857.85
      95.91              45073.77
      96.14              45290.21
      96.37              45507.17
      96.60              45724.64
      96.83              45942.64
      97.06              46161.15
      97.29              46380.19
      97.52              46599.74
      97.75              46819.81
      97.98              47040.39
      98.21              47261.50
      98.44              47483.12
      98.67              47705.27
      98.90              47927.93
      99.13              48151.11
      99.36              48374.81
      99.59              48599.02
      99.82              48823.76
     100.05              49049.01
     100.28              49274.78
     100.51              49501.07
     100.74              49727.88
     100.97              49955.21
     101.20              50183.06
     101.43              50411.42
     101.66              50640.30
     101.89              50869.70
     102.12              51099.62
     102.35              51330.06
     102.58              51561.02
     102.81              51792.49
     103.04              52024.48
     103.27              52257.00
     103.50              52490.03
     103.73              52723.57
     103.96              52957.64
     104.19              53192.22
     104.42              53427.33
     104.65              53662.95
     104.88              53899.09
     105.11              54135.75
     105.34              54372.93
     105.57              54610.62
     105.80              54848.84
     106.03              55087.57
     106.26              55326.82
     106.49              55566.59
     106.72              55806.88
     106.95              56047.68
     107.18              56289.01
     107.41              56530.85
     107.64              56773.21
     107.87              57016.09
     108.10              57259.49
     108.33              57503.41
     108.56              57747.84
     108.79              57992.79
     109.02              58238.27
     109.25              58484.26
     109.48              58730.76
     109.71              58977.79
     109.94              59225.34
     110.17              59473.40
     110.40              59721.98
     110.63              59971.08
     110.86              60220.70
     111.09              60470.84
     111.32              60721.50
     111.55              60972.67
     111.78              61224.37
     112.01              61476.58
     112.24              61729.31
     112.47              61982.55
     112.70              62236.32
     112.93              62490.61
     113.16              62745.41
     113.39              63000.73
     113.62              63256.57
     113.85              63512.93
     114.08              63769.81
     114.31              64027.20
     114.54              64285.12
     114.77              64543.55
     115.00              64802.50
     115.23              65061.97
     115.46              65321.96
     115.69              65582.46
     115.92              65843.49
     116.15              66105.03
     116.38              66367.09
     116.61              66629.67
     116.84              66892.77
     117.07              67156.39
     117.30              67420.52
     117.53              67685.17
     117.76              67950.35
     117.99              68216.04
     118.22              68482.25
     118.45              68748.97
     118.68              69016.22
     118.91              69283.98
     119.14              69552.26
     119.37              69821.06
     119.60              70090.38
     119.83              70360.22
     120.06              70630.58
     120.29              70901.45
     120.52              71172.84
     120.75              71444.76
     120.98              71717.19
     121.21              71990.13
     121.44              72263.60
     121.67              72537.59
     121.90              72812.09
     122.13              73087.11
     122.36              73362.65
     122.59              73638.71
     122.82              73915.29
     123.05              74192.38
     123.28              74470.00
     123.51              74748.13
     123.74              75026.78
     123.97              75305.95
     124.20              75585.64
     124.43              75865.84
     124.66              76146.57
     124.89              76427.81
     125.12              76709.57
     125.35              76991.85
     125.58              77274.65
     125.81              77557.96
     126.04              77841.80
     126.27              78126.15
     126.50              78411.03
     126.73              78696.42
     126.96              78982.32
     127.19              79268.75
     127.42              79555.70
     127.65              79843.16
     127.88              80131.14
     128.11              80419.64
     128.34              80708.66
     128.57              80998.20
     128.80              81288.26
     129.03              81578.83
     129.26              81869.92
     129.49              82161.53
     129.72              82453.66
     129.95              82746.31
     130.18              83039.48
     130.41              83333.16
     130.64              83627.37
     130.87              83922.09
     131.10              84217.33
     131.33              84513.09
     131.56              84809.36
     131.79              85106.16
     132.02              85403.47
     132.25              85701.31
     132.48              85999.66
     132.71              86298.53
     132.94              86597.91
     133.17              86897.82
     133.40              87198.24
     133.63              87499.19
     133.86              87800.65
     134.09              88102.63
     134.32              88405.13
     134.55              88708.14
     134.78              89011.68
     135.01              89315.73
     135.24              89620.30
     135.47              89925.39
     135.70              90231.00
     135.93              90537.13
     136.16              90843.77
     136.39              91150.94
     136.62              91458.62
     136.85              91766.82
     137.08              92075.54
     137.31              92384.78
     137.54              92694.53
     137.77              93004.81
     138.00              93315.60
     138.23              93626.91
     138.46              93938.74
     138.69              94251.09
     138.92              94563.96
     139.15              94877.34
     139.38              95191.24
     139.61              95505.67
     139.84              95820.61
     140.07              96136.06
     140.30              96452.04
     140.53              96768.54
     140.76              97085.55
     140.99              97403.08
     141.22              97721.13
     141.45              98039.70
     141.68              98358.79
     141.91              98678.40
     142.14              98998.52
     142.37              99319.16
     142.60              99640.32
     142.83              99962.00
     143.06             100284.20
     143.29             100606.92
     143.52             100930.15
     143.75             101253.91
     143.98             101578.18
     144.21             101902.97
     144.44             102228.28
     144.67             102554.10
     144.90             102880.45
     145.13             103207.31
     145.36             103534.70
     145.59             103862.60
     145.82             104191.01
     146.05             104519.95
     146.28             104849.41
     146.51             105179.38
     146.74             105509.88
     146.97             105840.89
     147.20             106172.42
     147.43             106504.46
     147.66             106837.03
     147.89             107170.12
     148.12             107503.72
     148.35             107837.84
     148.58             108172.48
     148.81             108507.64
     149.04             108843.32
     149.27             109179.51
     149.50             109516.22
     149.73             109853.46
     149.96             110191.21
     150.19             110529.48
     150.42             110868.26
     150.65             111207.57
     150.88             111547.39
     151.11             111887.74
     151.34             112228.60
     151.57             112569.98
     151.80             112911.88
     152.03             113254.29
     152.26             113597.23
     152.49             113940.68
     152.72             114284.65
     152.95             114629.14
     153.18             114974.15
     153.41             115319.68
     153.64             115665.72
     153.87             116012.29
     154.10             116359.37
     154.33             116706.97
     154.56             117055.09
     154.79             117403.73
     155.02             117752.88
     155.25             118102.56
     155.48             118452.75
     155.71             118803.46
     155.94             119154.69
     156.17             119506.44
     156.40             119858.70
     156.63             120211.49
     156.86             120564.79
     157.09             120918.61
     157.32             121272.95
     157.55             121627.81
     157.78             121983.19
     158.01             122339.08
     158.24             122695.50
     158.47             123052.43
     158.70             123409.88
     158.93             123767.85
     159.16             124126.34
     159.39             124485.34
     159.62             124844.87
     159.85             125204.91
     160.08             125565.47
     160.31             125926.55
     160.54             126288.15
     160.77             126650.27
     161.00             127012.90
     161.23             127376.05
     161.46             127739.72
     161.69             128103.91
     161.92             128468.62
     162.15             128833.85
     162.38             129199.60
     162.61             129565.86
     162.84             129932.64
     163.07             130299.94
     163.30             130667.76
     163.53             131036.10
     163.76             131404.95
     163.99             131774.33
     164.22             132144.22
     164.45             132514.63
     164.68             132885.56
     164.91             133257.01
     165.14             133628.98
     165.37             134001.46
     165.60             134374.46
     165.83             134747.99
     166.06             135122.03
     166.29             135496.58
     166.52             135871.66
     166.75             136247.26
     166.98             136623.37
     167.21             137000.00
     167.44             137377.15
     167.67             137754.82
     167.90             138133.01
     168.13             138511.71
     168.36             138890.94
     168.59             139270.68
     168.82             139650.94
     169.05             140031.72
     169.28             140413.02
     169.51             140794.84
     169.74             141177.17
     169.97             141560.02
     170.20             141943.40
     170.43             142327.29
     170.66             142711.69
     170.89             143096.62
     171.12             143482.07
     171.35             143868.03
     171.58             144254.51
     171.81             144641.51
     172.04             145029.03
     172.27             145417.07
     172.50             145805.62
     172.73             146194.70
     172.96             146584.29
     173.19             146974.40
     173.42             147365.03
     173.65             147756.18
     173.88             148147.85
     174.11             148540.03
     174.34             148932.73
     174.57             149325.96
     174.80             149719.70
     175.03             150113.95
     175.26             150508.73
     175.49             150904.03
     175.72             151299.84
     175.95             151696.17
     176.18             152093.02
     176.41             152490.39
     176.64             152888.28
     176.87             153286.68
     177.10             153685.61
     177.33             154085.05
     177.56             154485.01
     177.79             154885.49
     178.02             155286.49
     178.25             155688.01
     178.48             156090.04
     178.71             156492.59
     178.94             156895.67
     179.17             157299.26
     179.40             157703.36
     179.63             158107.99
     179.86             158513.14
     180.09             158918.80
     180.32             159324.98
     180.55             159731.68
     180.78             160138.90
     181.01             160546.64
     181.24             160954.89
     181.47             161363.67
     181.70             161772.96
     181.93             162182.77
     182.16             162593.10
     182.39             163003.95
     182.62             163415.32
     182.85             163827.20
     183.08             164239.60
     183.31             164652.52
     183.54             165065.96
     183.77             165479.92
     184.00             165894.40
     184.23             166309.40
     184.46             166724.91
     184.69             167140.94
     184.92             167557.49
     185.15             167974.56
     185.38             168392.15
     185.61             168810.25
     185.84             169228.88
     186.07             169648.02
     186.30             170067.68
     186.53             170487.86
     186.76             170908.56
     186.99             171329.77
     187.22             171751.51
     187.45             172173.76
     187.68             172596.53
     187.91             173019.82
     188.14             173443.63
     188.37             173867.96
     188.60             174292.80
     188.83             174718.17
     189.06             175144.05
     189.29             175570.45
     189.52             175997.37
     189.75             176424.81
     189.98             176852.76
     190.21             177281.24
     190.44             177710.23
     190.67             178139.74
     190.90             178569.77
     191.13             179000.32
     191.36             179431.38
     191.59             179862.97
     191.82             180295.07
     192.05             180727.69
     192.28             181160.83
     192.51             181594.49
     192.74             182028.67
     192.97             182463.36
     193.20             182898.58
     193.43             183334.31
     193.66             183770.56
     193.89             184207.33
     194.12             184644.61
     194.35             185082.42
     194.58             185520.74
     194.81             185959.59
     195.04             186398.95
     195.27             186838.83
     195.50             187279.22
     195.73             187720.14
     195.96             188161.58
     196.19             188603.53
     196.42             189046.00
     196.65             189488.99
     196.88             189932.50
     197.11             190376.53
     197.34             190821.07
     197.57             191266.13
     197.80             191711.72
     198.03             192157.82
     198.26             192604.44
     198.49             193051.57
     198.72             193499.23
     198.95             193947.40
     199.18             194396.09
     199.41             194845.31
     199.64             195295.04
     199.87             195745.28
     200.10             196196.05
     200.33             196647.33
     200.56             197099.14
     200.79             197551.46
     201.02             198004.30
     201.25             198457.66
     201.48             198911.53
     201.71             199365.93
     201.94             199820.84
     202.17             200276.27
     202.40             200732.22
     202.63             201188.69
     202.86             201645.68
     203.09             202103.19
     203.32             202561.21
     203.55             203019.75
     203.78             203478.81
     204.01             203938.39
     204.24             204398.49
     204.47             204859.11
     204.70             205320.24
     204.93             205781.89
     205.16             206244.07
     205.39             206706.76
     205.62             207169.96
     205.85             207633.69
     206.08             208097.94
     206.31             208562.70
     206.54             209027.98
     206.77             209493.78
     207.00             209960.10
     207.23             210426.94
     207.46             210894.29
     207.69             211362.17
     207.92             211830.56
     208.15             212299.47
     208.38             212768.90
     208.61             213238.85
     208.84             213709.31
     209.07             214180.30
     209.30             214651.80
     209.53             215123.82
     209.76             215596.36
     209.99             216069.42
     210.22             216543.00
     210.45             217017.09
     210.68             217491.71
     210.91             217966.84
     211.14             218442.49
     211.37             218918.66
     211.60             219395.34
     211.83             219872.55
     212.06             220350.27
     212.29             220828.52
     212.52             221307.28
     212.75             221786.56
     212.98             222266.35
     213.21             222746.67
     213.44             223227.50
     213.67             223708.86
     213.90             224190.73
     214.13             224673.12
     214.36             225156.03
     214.59             225639.45
     214.82             226123.40
     215.05             226607.86
     215.28             227092.84
     215.51             227578.34
     215.74             228064.36
     215.97             228550.90
     216.20             229037.96
     216.43             229525.53
     216.66             230013.62
     216.89             230502.23
     217.12             230991.36
     217.35             231481.01
     217.58             231971.18
     217.81             232461.86
     218.04             232953.06
     218.27             233444.79
     218.50             233937.02
     218.73             234429.78
     218.96             234923.06
     219.19             235416.85
     219.42             235911.17
     219.65             236406.00
     219.88             236901.35
     220.11             237397.22
     220.34             237893.61
     220.57             238390.51
     220.80             238887.94
     221.03             239385.88
     221.26             239884.34
     221.49             240383.32
     221.72             240882.82
     221.95             241382.83
     222.18             241883.37
     222.41             242384.42
     222.64             242885.99
     222.87             243388.08
     223.10             243890.69
     223.33             244393.82
     223.56             244897.46
     223.79             245401.62
     224.02             245906.31
     224.25             246411.51
     224.48             246917.22
     224.71             247423.46
     224.94             247930.22
     225.17             248437.49
     225.40             248945.28
     225.63             249453.59
     225.86             249962.42
     226.09             250471.77
     226.32             250981.64
     226.55             251492.02
     226.78             252002.93
     227.01             252514.35
     227.24             253026.29
     227.47             253538.74
     227.70             254051.72
     227.93             254565.22
     228.16             255079.23
     228.39             255593.76
     228.62             256108.81
     228.85             256624.38
     229.08             257140.47
     229.31             257657.07
     229.54             258174.20
     229.77             258691.84
     230.00             259210.00
     230.23             259728.68
     230.46             260247.88
     230.69             260767.59
     230.92             261287.83
     231.15             261808.58
     231.38             262329.85
     231.61             262851.64
     231.84             263373.95
     232.07             263896.78
     232.30             264420.12
     232.53             264943.98
     232.76             265468.37
     232.99             265993.27
     233.22             266518.69
     233.45             267044.62
     233.68             267571.08
     233.91             268098.05
     234.14             268625.54
     234.37             269153.55
     234.60             269682.08
     234.83             270211.13
     235.06             270740.70
     235.29             271270.78
     235.52             271801.38
     235.75             272332.51
     235.98             272864.15
     236.21             273396.30
     236.44             273928.98
     236.67             274462.18
     236.90             274995.89
     237.13             275530.12
     237.36             276064.87
     237.59             276600.14
     237.82             277135.93
     238.05             277672.23
     238.28             278209.06
     238.51             278746.40
     238.74             279284.26
     238.97             279822.64
     239.20             280361.54
     239.43             280900.95
     239.66             281440.89
     239.89             281981.34
     240.12             282522.31
     240.35             283063.80
     240.58             283605.81
     240.81             284148.33
     241.04             284691.38
     241.27             285234.94
     241.50             285779.02
     241.73             286323.63
     241.96             286868.74
     242.19             287414.38
     242.42             287960.54
     242.65             288507.21
     242.88             289054.40
     243.11             289602.11
     243.34             290150.34
     243.57             290699.09
     243.80             291248.36
     244.03             291798.14
     244.26             292348.44
     244.49             292899.26
     244.72             293450.60
     244.95             294002.46
     245.18             294554.84
     245.41             295107.73
     245.64             295661.15
     245.87             296215.08
     246.10             296769.53
     246.33             297324.50
     246.56             297879.98
     246.79             298435.99
     247.02             298992.51
     247.25             299549.56
     247.48             300107.12
     247.71             300665.20
     247.94             301223.79
     248.17             301782.91
     248.40             302342.54
     248.63             302902.70
     248.86             303463.37
     249.09             304024.56
     249.32             304586.27
     249.55             305148.49
     249.78             305711.24
     250.01             306274.50
     250.24             306838.28
     250.47             307402.58
     250.70             307967.40
     250.93             308532.74
     251.16             309098.59
     251.39             309664.97
     251.62             310231.86
     251.85             310799.27
     252.08             311367.20
     252.31             311935.65
     252.54             312504.61
     252.77             313074.10
     253.00             313644.10
     253.23             314214.62
     253.46             314785.66
     253.69             315357.22
     253.92             315929.30
     254.15             316501.89
     254.38             317075.00
     254.61             317648.64
     254.84             318222.79
     255.07             318797.45
     255.30             319372.64
     255.53             319948.35
     255.76             320524.57
     255.99             321101.31
     256.22             321678.57
     256.45             322256.35
     256.68             322834.65
     256.91             323413.47
     257.14             323992.80
     257.37             324572.65
     257.60             325153.02
     257.83             325733.91
     258.06             326315.32
     258.29             326897.25
     258.52             327479.69
     258.75             328062.66
     258.98             328646.14
     259.21             329230.14
     259.44             329814.66
     259.67             330399.69
     259.90             330985.25
     260.13             331571.32
     260.36             332157.92
     260.59             332745.03
     260.82             333332.65
     261.05             333920.80
     261.28             334509.47
     261.51             335098.65
     261.74             335688.36
     261.97             336278.58
     262.20             336869.32
     262.43             337460.57
     262.66             338052.35
     262.89             338644.65
     263.12             339237.46
     263.35             339830.79
     263.58             340424.64
     263.81             341019.01
     264.04             341613.90
     264.27             342209.30
     264.50             342805.22
     264.73             343401.67
     264.96             343998.63
     265.19             344596.11
     265.42             345194.10
     265.65             345792.62
     265.88             346391.65
     266.11             346991.21
     266.34             347591.28
     266.57             348191.87
     266.80             348792.98
     267.03             349394.60
     267.26             349996.75
     267.49             350599.41
     267.72             351202.59
     267.95             351806.29
     268.18             352410.51
     268.41             353015.25
     268.64             353620.50
     268.87             354226.28
     269.10             354832.57
     269.33             355439.38
     269.56             356046.71
     269.79             356654.56
     270.02             357262.92
     270.25             357871.81
     270.48             358481.21
     270.71             359091.13
     270.94             359701.57
     271.17             360312.53
     271.40             360924.00
     271.63             361536.00
     271.86             362148.51
     272.09             362761.54
     272.32             363375.09
     272.55             363989.16
     272.78             364603.75
     273.01             365218.85
     273.24             365834.48
     273.47             366450.62
     273.70             367067.28
     273.93             367684.46
     274.16             368302.16
     274.39             368920.37
     274.62             369539.11
     274.85             370158.36
     275.08             370778.13
     275.31             371398.42
     275.54             372019.23
     275.77             372640.56
     276.00             373262.40
     276.23             373884.76
     276.46             374507.64
     276.69             375131.04
     276.92             375754.96
     277.15             376379.40
     277.38             377004.36
     277.61             377629.83
     277.84             378255.82
     278.07             378882.33
     278.30             379509.36
     278.53             380136.91
     278.76             380764.97
     278.99             381393.56
     279.22             382022.66
     279.45             382652.28
     279.68             383282.42
     279.91             383913.08
     280.14             384544.26
     280.37             385175.95
     280.60             385808.16
     280.83             386440.90
     281.06             387074.15
     281.29             387707.91
     281.52             388342.20
     281.75             388977.01
     281.98             389612.33
     282.21             390248.17
     282.44             390884.53
     282.67             391521.41
     282.90             392158.81
     283.13             392796.72
     283.36             393435.16
     283.59             394074.11
     283.82             394713.58
     284.05             395353.57
     284.28             395994.08
     284.51             396635.11
     284.74             397276.65
     284.97             397918.71
     285.20             398561.30
     285.43             399204.40
     285.66             399848.01
     285.89             400492.15
     286.12             401136.81
     286.35             401781.98
     286.58             402427.67
     286.81             403073.88
     287.04             403720.61
     287.27             404367.86
     287.50             405015.62
     287.73             405663.91
     287.96             406312.71
     288.19             406962.03
     288.42             407611.87
     288.65             408262.23
     288.88             408913.11
     289.11             409564.50
     289.34             410216.41
     289.57             410868.85
     289.80             411521.80
     290.03             412175.26
     290.26             412829.25
     290.49             413483.76
     290.72             414138.78
     290.95             414794.32
     291.18             415450.38
     291.41             416106.96
     291.64             416764.06
     291.87             417421.67
     292.10             418079.81
     292.33             418738.46
     292.56             419397.63
     292.79             420057.32
     293.02             420717.53
     293.25             421378.26
     293.48             422039.50
     293.71             422701.26
     293.94             423363.55
     294.17             424026.35
     294.40             424689.66
     294.63             425353.50
     294.86             426017.86
     295.09             426682.73
     295.32             427348.12
     295.55             428014.03
     295.78             428680.46
     296.01             429347.41
     296.24             430014.87
     296.47             430682.86
     296.70             431351.36
     296.93             432020.38
     297.16             432689.92
     297.39             433359.98
     297.62             434030.56
     297.85             434701.65
     298.08             435373.26
     298.31             436045.39
     298.54             436718.04
     298.77             437391.21
     299.00             438064.90
     299.23             438739.11
     299.46             439413.83
     299.69             440089.07
     299.92             440764.83
     300.15             441441.11
     300.38             442117.91
     300.61             442795.22
     300.84             443473.06
     301.07             444151.41
     301.30             444830.28
     301.53             445509.67
     301.76             446189.58
     301.99             446870.00
     302.22             447550.95
     302.45             448232.41
     302.68             448914.39
     302.91             449596.89
     303.14             450279.91
     303.37             450963.45
     303.60             451647.50
     303.83             452332.08
